9932,"10554","1","Duplo","","2013","Toddler Build and Pull Along",,15,14.99,14.99,14.99,19.99,"http://www.1000steine.com/brickset/images/10554-1.jpg","No","No",0
10158,"10555","1","Duplo","","2013","Creative Bucket",,65,19.99,29.99,39.99,24.99,"http://www.1000steine.com/brickset/images/10555-1.jpg","No","No",0
10291,"10556","1","Duplo","","2013","Creative Chest",2,106,39.99,44.99,49.99,39.99,"http://www.1000steine.com/brickset/images/10556-1.jpg","No","No",0
10292,"10557","1","Duplo","","2013","Giant Tower",,200,49.99,59.99,69.99,59.99,"http://www.1000steine.com/brickset/images/10557-1.jpg","No","No",0
10061,"10558","1","Duplo","","2013","Number Train",1,31,12.99,19.99,19.99,19.99,"http://www.1000steine.com/brickset/images/10558-1.jpg","No","No",0
10293,"10559","1","Duplo","","2013","A Fairy Tale",,15,9.99,12.99,15.99,14.99,"http://www.1000steine.com/brickset/images/10559-1.jpg","No","No",0
10294,"10560","1","Duplo","","2013","Peekaboo Jungle",,13,9.99,12.99,15.99,14.99,"http://www.1000steine.com/brickset/images/10560-1.jpg","No","No",0
9933,"10561","1","Duplo","","2013","Toddler Starter Building Set",,37,17.99,19.99,19.99,19.99,"http://www.1000steine.com/brickset/images/10561-1.jpg","No","No",0
9990,"10655","1","Bricks and More","","2013","LEGO Monster Trucks",3,197,14.99,19.99,24.99,19.99,"http://www.1000steine.com/brickset/images/10655-1.jpg","No","No",0
9991,"10656","1","Bricks and More","","2013","My First LEGO Princess",1,88,6.99,9.99,12.99,7.99,"http://www.1000steine.com/brickset/images/10656-1.jpg","No","No",0
9992,"10657","1","Bricks and More","","2013","My First LEGO Set",1,148,9.99,14.99,19.99,12.99,"http://www.1000steine.com/brickset/images/10657-1.jpg","No","No",0
9934,"10659","1","Bricks and More","","2013","Vehicle Suitcase",2,146,19.99,24.99,29.99,24.99,"http://www.1000steine.com/brickset/images/10659-1.jpg","No","No",0
9935,"10660","1","Bricks and More","","2013","House Suitcase",2,151,19.99,24.99,29.99,24.99,"http://www.1000steine.com/brickset/images/10660-1.jpg","No","No",0
9993,"10661","1","Bricks and More","","2013","My First LEGO Fire Station",1,90,6.99,9.99,12.99,7.99,"http://www.1000steine.com/brickset/images/10661-1.jpg","No","No",0
10159,"10662","1","Bricks and More","","2013","LEGO Creative Bucket",,607,19.99,29.99,39.99,24.99,"http://www.1000steine.com/brickset/images/10662-1.jpg","No","No",0
10295,"10663","1","Bricks and More","","2013","Creative Chest",3,609,39.99,,,39.99,"http://www.1000steine.com/brickset/images/10663-1.jpg","No","No",0
10296,"10664","1","Bricks and More","","2013","Creative Tower",,1600,49.99,,,59.99,"http://www.1000steine.com/brickset/images/10664-1.jpg","No","No",0
10054,"10937","1","DC Comics Super Heroes","Batman","2013","Batman: Arkham Asylum Breakout",8,1619,129.99,159.99,209.99,159.99,"http://www.1000steine.com/brickset/images/10937-1.jpg","No","No",0
23225,"11900","1","City","","2013","Brickmaster City parts",,,,,,,,"No","No",0
23226,"11901","1","Ninjago","","2013","Brickmaster Ninjago parts",,,,,,,,"No","No",0
23227,"11902","1","Friends","","2013","Brickmaster Friends: Treasure Hunt in Heartlake City parts",,,18.99,,,,,"No","No",0
23219,"11903","1","Ninjago","","2013","Brickmaster Ninjago: Fight the Power of the Snakes parts",,156,,,,,,"No","No",0
22755,"11904","1","Legends Of Chima","","2013","Brickmaster Legends of Chima: The Quest for Chi parts",,187,,,,,"http://www.1000steine.com/brickset/images/11904-1.jpg","No","No",0
22980,"11905","1","Star Wars","The Clone Wars","2013","Brickmaster Star Wars: Battle for the Stolen Crystals parts",,189,,,,,"http://www.1000steine.com/brickset/images/11905-1.jpg","No","No",0
